age,ageGroup,area,notInEdu,notInEmp,notInTra,neet,notInEduNotEnr,eduBarrier,workBarrier,trainBarrier,weights
45,25-64,Rural,TRUE,TRUE,TRUE,TRUE,TRUE,,AEFGHI,Z,1.068869
40,25-64,Rural,TRUE,TRUE,TRUE,TRUE,TRUE,,ABCDEFGHI,Z,1.068869
17,15-24,Rural,FALSE,TRUE,TRUE,FALSE,FALSE,,ABCDEFHIJ,Z,1.068869
21,15-24,Rural,FALSE,NA,TRUE,FALSE,FALSE,,ABCDEFGHIJ,Z,1.068869
29,25-64,Rural,TRUE,TRUE,TRUE,TRUE,TRUE,QR,BEGH,FHL,1.068869
20,15-24,Rural,TRUE,TRUE,TRUE,TRUE,TRUE,EJQ,AC,G,1.068869
22,15-24,Rural,TRUE,TRUE,TRUE,TRUE,TRUE,E,B,H,1.068869
17,15-24,Rural,TRUE,TRUE,TRUE,TRUE,TRUE,JQ,ABCEFG,L,1.068869
19,15-24,Rural,FALSE,TRUE,TRUE,FALSE,FALSE,,,G,1.068869
16,15-24,Rural,FALSE,TRUE,TRUE,FALSE,FALSE,,E,Z,1.068869
41,25-64,Rural,TRUE,TRUE,TRUE,TRUE,TRUE,,BE,FHL,1.068869
45,25-64,Rural,TRUE,TRUE,TRUE,TRUE,TRUE,,ABCDEFGHIJ,Z,1.068869
21,15-24,Rural,TRUE,TRUE,TRUE,TRUE,TRUE,M,ACDEFGI,Z,1.068869
39,25-64,Rural,TRUE,TRUE,TRUE,TRUE,TRUE,,ABCDEFGHIJ,BCFJ,1.068869
24,15-24,Rural,TRUE,TRUE,TRUE,TRUE,TRUE,DMQ,ABEFG,ABH,1.068869
24,15-24,Rural,TRUE,TRUE,TRUE,TRUE,TRUE,DEQ,ABCDEFGHI,ABEGL,1.068869
38,25-64,Rural,TRUE,TRUE,TRUE,TRUE,TRUE,,BCDEFGHI,AHL,1.068869
61,25-64,Rural,TRUE,NA,TRUE,NA,TRUE,,EFGI,H,0.395683
29,25-64,Rural,TRUE,TRUE,TRUE,TRUE,TRUE,Q,ABCDEFGHIJ,K,0.395683
41,25-64,Rural,TRUE,NA,TRUE,NA,TRUE,,ABC,HL,0.395683
16,15-24,Rural,FALSE,TRUE,TRUE,FALSE,FALSE,,CG,L,0.395683
60,25-64,Rural,TRUE,TRUE,TRUE,TRUE,TRUE,,ABCDEFGHIJ,K,0.395683
32,25-64,Rural,TRUE,TRUE,TRUE,TRUE,TRUE,,C,H,0.395683
18,15-24,Rural,TRUE,TRUE,TRUE,TRUE,TRUE,AB,ABCDEFGHIJ,K,0.395683
16,15-24,Rural,TRUE,TRUE,TRUE,TRUE,TRUE,A,HJ,I,0.395683
17,15-24,Rural,TRUE,TRUE,TRUE,TRUE,TRUE,J,ABCDEFGHIJ,K,0.395683
40,25-64,Rural,TRUE,NA,TRUE,NA,TRUE,,AC,HL,0.395683
23,15-24,Rural,TRUE,NA,TRUE,NA,TRUE,M,ADIJ,BL,0.395683
26,25-64,Rural,TRUE,TRUE,TRUE,TRUE,TRUE,Q,,J,0.395683
26,25-64,Rural,TRUE,NA,TRUE,NA,TRUE,B,,H,0.395683
18,15-24,Rural,TRUE,NA,TRUE,NA,TRUE,J,,H,0.395683
25,25-64,Rural,TRUE,TRUE,TRUE,TRUE,TRUE,J,ABCEFHIJ,F,0.395683
57,25-64,Rural,TRUE,TRUE,TRUE,TRUE,TRUE,,BCE,FH,0.395683
29,25-64,Rural,TRUE,NA,TRUE,NA,TRUE,E,ABCEIJ,FL,0.395683
33,25-64,Rural,TRUE,NA,TRUE,NA,NA,,BCJ,F,0.395683
20,15-24,Rural,TRUE,TRUE,TRUE,TRUE,TRUE,BH,ACI,L,0.395683
18,15-24,Rural,TRUE,TRUE,TRUE,TRUE,TRUE,E,ABCDEFHI,G,0.553667
32,25-64,Rural,TRUE,TRUE,TRUE,TRUE,TRUE,,ABCDHI,H,0.553667
17,15-24,Rural,TRUE,TRUE,TRUE,TRUE,TRUE,BGJ,E,G,0.553667
24,15-24,Rural,TRUE,TRUE,TRUE,TRUE,TRUE,FQ,ABCDEFGHI,BHK,0.553667
35,25-64,Rural,TRUE,TRUE,TRUE,TRUE,TRUE,,BCEFGH,FL,0.553667
18,15-24,Rural,TRUE,TRUE,TRUE,TRUE,TRUE,J,BE,H,0.553667
23,15-24,Rural,TRUE,TRUE,TRUE,TRUE,TRUE,FQ,ABCDEFGHIJ,AGJKL,0.553667
24,15-24,Rural,TRUE,TRUE,TRUE,TRUE,TRUE,D,ABCEF,H,0.553667
62,25-64,Rural,TRUE,TRUE,TRUE,TRUE,TRUE,,ABDEFG,H,0.553667
36,25-64,Rural,TRUE,NA,TRUE,NA,TRUE,,ABEFGHIJ,HL,0.553667
52,25-64,Rural,TRUE,TRUE,TRUE,TRUE,TRUE,,ABCDEIJ,L,0.553667
33,25-64,Rural,TRUE,TRUE,TRUE,TRUE,TRUE,,ABCDEFGHIJ,GHL,0.553667
16,15-24,Rural,FALSE,TRUE,TRUE,FALSE,FALSE,,E,L,0.553667
28,25-64,Rural,TRUE,TRUE,TRUE,TRUE,TRUE,E,ABCDJ,H,0.553667
35,25-64,Rural,TRUE,TRUE,TRUE,TRUE,NA,,BCDEFGHIJ,L,0.553667
34,25-64,Rural,TRUE,TRUE,TRUE,TRUE,TRUE,,BE,L,0.553667
55,25-64,Rural,TRUE,TRUE,TRUE,TRUE,TRUE,,ABCDEI,H,0.553667
38,25-64,Rural,TRUE,TRUE,TRUE,TRUE,TRUE,,,BHJL,0.553667
15,15-24,Rural,FALSE,TRUE,TRUE,FALSE,FALSE,,ACF,G,0.553667
35,25-64,Rural,TRUE,TRUE,TRUE,TRUE,TRUE,,E,FL,0.879684
29,25-64,Rural,TRUE,TRUE,TRUE,TRUE,TRUE,H,AB,H,0.879684
33,25-64,Rural,TRUE,TRUE,TRUE,TRUE,TRUE,,BCE,HL,0.879684
35,25-64,Rural,TRUE,TRUE,TRUE,TRUE,TRUE,,ABCD,H,0.879684
26,25-64,Rural,TRUE,TRUE,TRUE,TRUE,TRUE,Q,ABCDEFGHI,GHL,0.879684
40,25-64,Rural,TRUE,TRUE,TRUE,TRUE,NA,,CDEFGHIJ,L,0.879684
26,25-64,Rural,TRUE,TRUE,TRUE,TRUE,TRUE,DQ,BCDEFG,ABCGI,0.879684
34,25-64,Rural,TRUE,TRUE,TRUE,TRUE,TRUE,,CEFGHI,HL,0.879684
17,15-24,Rural,FALSE,TRUE,TRUE,FALSE,FALSE,,DEFIJ,K,0.879684
24,15-24,Rural,FALSE,TRUE,TRUE,FALSE,FALSE,,,IJL,0.879684
26,25-64,Rural,TRUE,TRUE,TRUE,TRUE,TRUE,Q,BDEFGHI,Z,0.879684
23,15-24,Rural,TRUE,TRUE,TRUE,TRUE,TRUE,JQ,ABCEFGH,GH,0.879684
55,25-64,Rural,TRUE,TRUE,TRUE,TRUE,TRUE,,,L,0.879684
54,25-64,Rural,TRUE,TRUE,TRUE,TRUE,TRUE,,BCE,H,0.879684
50,25-64,Rural,TRUE,NA,TRUE,NA,TRUE,,CEFG,H,0.879684
38,25-64,Rural,TRUE,TRUE,TRUE,TRUE,TRUE,,ABCDEFGH,G,0.879684
35,25-64,Rural,TRUE,TRUE,TRUE,TRUE,TRUE,,,AHL,0.879684
42,25-64,Rural,TRUE,TRUE,TRUE,TRUE,TRUE,,,H,0.879684
37,25-64,Urban,TRUE,NA,TRUE,NA,TRUE,,,K,0.570263
34,25-64,Urban,TRUE,NA,TRUE,NA,TRUE,,AC,K,0.570263
36,25-64,Urban,TRUE,TRUE,TRUE,TRUE,TRUE,,ABDEFGHIJ,KL,0.570263
62,25-64,Urban,TRUE,TRUE,TRUE,TRUE,TRUE,,ABCE,L,0.570263
42,25-64,Urban,TRUE,TRUE,TRUE,TRUE,TRUE,,ABCDEFGHIJ,K,0.570263
55,25-64,Urban,TRUE,TRUE,TRUE,TRUE,TRUE,,,GH,0.570263
26,25-64,Urban,TRUE,TRUE,TRUE,TRUE,TRUE,Q,CDEFGHIJ,K,0.570263
60,25-64,Urban,TRUE,TRUE,TRUE,TRUE,TRUE,,,H,0.570263
50,25-64,Urban,TRUE,NA,TRUE,NA,TRUE,,CE,KL,0.570263
17,15-24,Urban,FALSE,TRUE,TRUE,FALSE,FALSE,,AC,L,0.570263
41,25-64,Urban,TRUE,TRUE,TRUE,TRUE,TRUE,,BDEFGHIJ,B,0.570263
25,25-64,Urban,TRUE,TRUE,TRUE,TRUE,TRUE,Q,BCDEFGHIJ,K,0.570263
18,15-24,Urban,FALSE,TRUE,TRUE,FALSE,FALSE,,CDFGHIJ,K,0.570263
62,25-64,Urban,TRUE,TRUE,TRUE,TRUE,TRUE,,EFGHIJ,Z,0.609229
15,15-24,Urban,FALSE,TRUE,TRUE,FALSE,FALSE,,ABCDEFGHIJ,Z,0.609229
40,25-64,Urban,TRUE,TRUE,TRUE,TRUE,TRUE,,,L,0.609229
29,25-64,Urban,TRUE,NA,TRUE,NA,TRUE,AD,,HL,0.609229
29,25-64,Urban,TRUE,TRUE,TRUE,TRUE,TRUE,DP,BFG,FL,0.609229
32,25-64,Urban,TRUE,TRUE,TRUE,TRUE,TRUE,,CDFGHI,H,0.609229
37,25-64,Urban,TRUE,TRUE,TRUE,TRUE,TRUE,,ABCEFGHIJ,H,0.609229
42,25-64,Urban,TRUE,TRUE,TRUE,TRUE,TRUE,,EFGHIJ,L,0.609229
29,25-64,Urban,TRUE,NA,TRUE,NA,TRUE,E,BCDE,B,0.609229
28,25-64,Urban,TRUE,TRUE,TRUE,TRUE,TRUE,AB,ABCDEFGHI,H,0.609229
55,25-64,Urban,TRUE,TRUE,TRUE,TRUE,TRUE,,EFGHI,Z,0.609229
22,15-24,Urban,TRUE,TRUE,TRUE,TRUE,TRUE,Q,ABCFGHIJ,Z,0.609229
60,25-64,Urban,TRUE,TRUE,TRUE,TRUE,TRUE,,,H,0.609229
31,25-64,Urban,TRUE,TRUE,TRUE,TRUE,TRUE,,BDE,H,0.609229
44,25-64,Urban,TRUE,TRUE,TRUE,TRUE,TRUE,,CDEFGH,FH,0.609229
39,25-64,Urban,TRUE,TRUE,TRUE,TRUE,NA,,EFG,H,0.609229
18,15-24,Urban,FALSE,TRUE,TRUE,FALSE,FALSE,,ACJ,KL,0.609229
35,25-64,Urban,TRUE,TRUE,TRUE,TRUE,TRUE,,ADEFGHIJ,K,0.536355
17,15-24,Urban,FALSE,TRUE,TRUE,FALSE,FALSE,,ADEFGHIJ,K,0.536355
38,25-64,Urban,TRUE,TRUE,TRUE,TRUE,TRUE,,ACEFGHIJ,FH,0.536355
37,25-64,Urban,TRUE,NA,TRUE,NA,TRUE,,C,FH,0.536355
54,25-64,Urban,TRUE,TRUE,TRUE,TRUE,TRUE,,ABCEFGH,K,0.536355
57,25-64,Urban,TRUE,TRUE,TRUE,TRUE,TRUE,,ABCEFGHIJ,HK,0.536355
51,25-64,Urban,TRUE,TRUE,TRUE,TRUE,TRUE,,,H,0.536355
29,25-64,Urban,TRUE,TRUE,TRUE,TRUE,TRUE,P,BE,H,0.536355
27,25-64,Urban,TRUE,TRUE,TRUE,TRUE,TRUE,D,ABCEI,CG,0.536355
48,25-64,Urban,TRUE,TRUE,TRUE,TRUE,TRUE,,ABCDEFGHI,L,0.536355
21,15-24,Urban,TRUE,TRUE,TRUE,TRUE,TRUE,DE,DEFGHIJ,K,0.536355
22,15-24,Urban,TRUE,TRUE,TRUE,TRUE,TRUE,E,ABCDEFGHIJ,K,0.536355
22,15-24,Urban,TRUE,TRUE,TRUE,TRUE,TRUE,M,BCDEF,H,0.536355
25,25-64,Urban,TRUE,TRUE,TRUE,TRUE,TRUE,J,ABCDEFGHIJ,FH,0.536355
20,15-24,Urban,TRUE,TRUE,TRUE,TRUE,TRUE,H,CEFH,H,0.536355
26,25-64,Urban,TRUE,TRUE,TRUE,TRUE,TRUE,R,CDEFI,K,0.536355
21,15-24,Urban,TRUE,TRUE,TRUE,TRUE,TRUE,DM,ABCDEFG,HIK,0.536355
28,25-64,Urban,TRUE,TRUE,TRUE,TRUE,TRUE,E,BE,H,0.536355
24,15-24,Urban,FALSE,TRUE,TRUE,FALSE,FALSE,,ABCDFHIJ,K,0.32028
34,25-64,Urban,TRUE,TRUE,TRUE,TRUE,TRUE,,DFGHIJ,L,0.32028
39,25-64,Urban,TRUE,TRUE,TRUE,TRUE,TRUE,,E,HL,0.32028
22,15-24,Urban,FALSE,TRUE,TRUE,FALSE,FALSE,,AIJ,K,0.32028
52,25-64,Urban,TRUE,TRUE,TRUE,TRUE,TRUE,,ABCEF,L,0.32028
19,15-24,Urban,FALSE,TRUE,TRUE,FALSE,FALSE,,DFGIJX,K,0.32028
45,25-64,Urban,TRUE,NA,TRUE,NA,TRUE,,,L,0.32028
42,25-64,Urban,TRUE,TRUE,TRUE,TRUE,TRUE,,,H,0.32028
34,25-64,Urban,TRUE,TRUE,TRUE,TRUE,TRUE,,ABF,FH,0.32028
52,25-64,Urban,TRUE,TRUE,TRUE,TRUE,TRUE,,CDEFGHIJ,K,0.32028
30,25-64,Urban,TRUE,TRUE,TRUE,TRUE,TRUE,,,L,0.32028
28,25-64,Urban,TRUE,TRUE,TRUE,TRUE,TRUE,Q,ABCDEFGHIJ,GKL,0.32028
15,15-24,Urban,FALSE,TRUE,TRUE,FALSE,FALSE,,ACF,L,0.32028
16,15-24,Urban,FALSE,TRUE,TRUE,FALSE,FALSE,,CDEFGHIJ,K,0.32028
15,15-24,Urban,FALSE,TRUE,TRUE,FALSE,FALSE,,DE,L,0.32028
40,25-64,Urban,TRUE,TRUE,TRUE,TRUE,TRUE,,ABCEF,L,0.32028
53,25-64,Urban,TRUE,TRUE,TRUE,TRUE,TRUE,,E,L,0.32028
27,25-64,Urban,TRUE,TRUE,TRUE,TRUE,TRUE,Q,,L,0.32028
36,25-64,Urban,TRUE,TRUE,TRUE,TRUE,TRUE,,ABCDEFGHIJ,H,0.32028
31,25-64,Urban,TRUE,TRUE,TRUE,TRUE,TRUE,,E,H,0.938496
43,25-64,Urban,TRUE,TRUE,TRUE,TRUE,TRUE,,CDEFGHIJ,FHKL,0.938496
38,25-64,Urban,TRUE,TRUE,TRUE,TRUE,TRUE,,,L,0.938496
28,25-64,Urban,FALSE,NA,TRUE,FALSE,FALSE,,CDFGHIJ,FH,0.938496
23,15-24,Urban,TRUE,TRUE,TRUE,TRUE,TRUE,Q,,H,0.938496
15,15-24,Urban,FALSE,TRUE,TRUE,FALSE,FALSE,,BCDEFGHIJ,K,0.938496
17,15-24,Urban,TRUE,TRUE,TRUE,TRUE,TRUE,J,,K,0.938496
31,25-64,Urban,TRUE,TRUE,TRUE,TRUE,TRUE,,ABCDEFGHIJ,K,0.938496
27,25-64,Urban,TRUE,TRUE,TRUE,TRUE,TRUE,E,,H,0.938496
60,25-64,Urban,TRUE,TRUE,TRUE,TRUE,TRUE,,BEF,L,0.938496
40,25-64,Rural,TRUE,TRUE,TRUE,TRUE,TRUE,,ABCDEFGHIJ,Z,0.28873
44,25-64,Rural,TRUE,TRUE,TRUE,TRUE,TRUE,,ABCDEFGHIJ,G,0.28873
18,15-24,Rural,TRUE,TRUE,TRUE,TRUE,TRUE,AJ,ABCEF,GL,0.28873
22,15-24,Rural,TRUE,TRUE,TRUE,TRUE,TRUE,ABCDE,ABCDEFGHI,H,0.28873
18,15-24,Rural,TRUE,TRUE,TRUE,TRUE,TRUE,BE,,K,0.28873
32,25-64,Rural,TRUE,TRUE,TRUE,TRUE,TRUE,,ABCDEFIJ,FL,0.28873
23,15-24,Rural,TRUE,TRUE,TRUE,TRUE,TRUE,E,ABC,CFL,0.28873
21,15-24,Rural,TRUE,TRUE,TRUE,TRUE,TRUE,E,ABCDEFGHIJ,Z,0.28873
51,25-64,Rural,TRUE,TRUE,TRUE,TRUE,TRUE,,ABCDEFGHIJ,H,0.28873
31,25-64,Rural,FALSE,NA,TRUE,FALSE,FALSE,,DFGH,HL,0.28873
47,25-64,Rural,TRUE,TRUE,TRUE,TRUE,TRUE,,,K,0.28873
53,25-64,Rural,TRUE,TRUE,TRUE,TRUE,TRUE,,DEFGHIJ,K,0.28873
38,25-64,Rural,TRUE,TRUE,TRUE,TRUE,TRUE,,ABCG,L,0.28873
26,25-64,Rural,TRUE,TRUE,TRUE,TRUE,TRUE,E,GH,K,0.28873
22,15-24,Rural,TRUE,TRUE,TRUE,TRUE,NA,,ABCDEFGHIJ,GH,0.28873
41,25-64,Rural,TRUE,TRUE,TRUE,TRUE,TRUE,,CDEFGHIJ,K,1.056534
33,25-64,Rural,TRUE,NA,TRUE,NA,TRUE,,,H,1.056534
16,15-24,Rural,TRUE,TRUE,TRUE,TRUE,TRUE,B,CEFG,A,1.056534
26,25-64,Rural,TRUE,TRUE,TRUE,TRUE,TRUE,J,EFI,K,1.056534
31,25-64,Rural,TRUE,TRUE,TRUE,TRUE,NA,,,H,1.056534
17,15-24,Rural,FALSE,TRUE,TRUE,FALSE,FALSE,,DEFGHIJ,L,1.056534
24,15-24,Rural,TRUE,TRUE,TRUE,TRUE,TRUE,ABDE,ABCDEFGHIJ,G,1.056534
32,25-64,Rural,TRUE,TRUE,TRUE,TRUE,TRUE,,CDEFGHIJ,K,1.056534
27,25-64,Rural,TRUE,TRUE,TRUE,TRUE,TRUE,BQ,BCDEFGHIJ,K,1.056534
62,25-64,Rural,TRUE,TRUE,TRUE,TRUE,TRUE,,ABCDEFGHIJ,FH,1.056534
34,25-64,Rural,TRUE,TRUE,TRUE,TRUE,TRUE,,,I,1.056534
25,25-64,Rural,TRUE,TRUE,TRUE,TRUE,TRUE,BCD,E,AB,1.056534
38,25-64,Rural,TRUE,TRUE,TRUE,TRUE,TRUE,,ABCE,H,1.056534
47,25-64,Rural,TRUE,TRUE,TRUE,TRUE,TRUE,,ABCDEIJ,FHK,1.056534
33,25-64,Rural,TRUE,TRUE,TRUE,TRUE,TRUE,,ABCDEI,H,1.056534
53,25-64,Rural,TRUE,TRUE,TRUE,TRUE,TRUE,,BE,K,1.056534
36,25-64,Rural,TRUE,TRUE,TRUE,TRUE,TRUE,,ABCDEFGHIJ,FH,1.056534
17,15-24,Rural,TRUE,NA,TRUE,NA,TRUE,Q,ABDEFGIJ,H,1.056534
35,25-64,Rural,TRUE,TRUE,TRUE,TRUE,TRUE,,DEFGHIJ,K,1.056534
41,25-64,Rural,TRUE,NA,TRUE,NA,TRUE,,ABCDEFGHIJ,AHL,0.628376
64,25-64,Rural,TRUE,TRUE,TRUE,TRUE,TRUE,,ABCDEFGHJ,K,0.628376
46,25-64,Rural,TRUE,TRUE,TRUE,TRUE,TRUE,,ACEHI,L,0.628376
41,25-64,Rural,TRUE,TRUE,TRUE,TRUE,TRUE,,EFGI,HKL,0.628376
61,25-64,Rural,TRUE,TRUE,TRUE,TRUE,TRUE,,,HL,0.628376
51,25-64,Rural,TRUE,TRUE,TRUE,TRUE,TRUE,,,H,0.628376
30,25-64,Rural,TRUE,TRUE,TRUE,TRUE,TRUE,,ABCEF,L,0.628376
56,25-64,Rural,TRUE,TRUE,TRUE,TRUE,TRUE,,CDEFGHIJ,H,0.628376
33,25-64,Rural,TRUE,TRUE,TRUE,TRUE,TRUE,,ABCDEFGHIJ,K,0.628376
63,25-64,Rural,TRUE,TRUE,TRUE,TRUE,TRUE,,,H,0.628376
25,25-64,Rural,TRUE,TRUE,TRUE,TRUE,TRUE,Q,,H,0.628376
38,25-64,Rural,TRUE,FALSE,TRUE,FALSE,TRUE,,,H,0.628376
32,25-64,Rural,TRUE,TRUE,TRUE,TRUE,TRUE,,ACGHIJ,CG,0.628376
45,25-64,Rural,TRUE,NA,TRUE,NA,TRUE,,CDHIJ,K,0.628376
25,25-64,Rural,TRUE,TRUE,TRUE,TRUE,TRUE,A,ABCDEFGHI,H,0.628376
42,25-64,Rural,TRUE,TRUE,TRUE,TRUE,TRUE,,CEHJ,CI,0.638759
18,15-24,Rural,FALSE,TRUE,TRUE,FALSE,FALSE,,CDFGHIJ,L,0.638759
53,25-64,Rural,TRUE,TRUE,TRUE,TRUE,NA,,ACDEFGHIJ,FH,0.638759
21,15-24,Rural,TRUE,TRUE,TRUE,TRUE,TRUE,B,ABCDEFGHIJ,K,0.638759
36,25-64,Rural,TRUE,TRUE,TRUE,TRUE,TRUE,,CDEFGHIJ,K,0.638759
48,25-64,Rural,TRUE,TRUE,TRUE,TRUE,TRUE,,ABCDEFGHIJ,AHI,0.638759
37,25-64,Rural,FALSE,TRUE,TRUE,FALSE,FALSE,,ABCDEFGHIJ,K,0.638759
30,25-64,Rural,TRUE,TRUE,TRUE,TRUE,NA,,ABCDEFGH,FH,0.638759
28,25-64,Rural,TRUE,TRUE,TRUE,TRUE,TRUE,BDE,ABCEI,H,0.638759
31,25-64,Rural,TRUE,TRUE,TRUE,TRUE,TRUE,,,H,0.638759
32,25-64,Rural,TRUE,TRUE,TRUE,TRUE,TRUE,,,H,0.638759
31,25-64,Rural,TRUE,TRUE,TRUE,TRUE,TRUE,,,H,0.638759
53,25-64,Rural,TRUE,TRUE,TRUE,TRUE,TRUE,,,K,0.638759
27,25-64,Rural,TRUE,TRUE,TRUE,TRUE,NA,,ABCEF,DH,0.638759
27,25-64,Rural,TRUE,TRUE,TRUE,TRUE,TRUE,D,CDEFGHIJ,K,0.638759
16,15-24,Rural,FALSE,NA,TRUE,FALSE,FALSE,,CEFGHI,L,0.638759
63,25-64,Rural,TRUE,TRUE,TRUE,TRUE,TRUE,,,H,0.273695
19,15-24,Rural,TRUE,TRUE,TRUE,TRUE,TRUE,M,ABCDE,HL,0.273695
37,25-64,Rural,TRUE,TRUE,TRUE,TRUE,TRUE,,ABCDEFGHI,ABH,0.273695
32,25-64,Rural,TRUE,TRUE,TRUE,TRUE,TRUE,,ABCDEFGHI,H,0.273695
34,25-64,Rural,TRUE,TRUE,TRUE,TRUE,TRUE,,ABCDEFGHIJ,K,0.273695
60,25-64,Rural,TRUE,TRUE,TRUE,TRUE,TRUE,,AB,F,0.273695
40,25-64,Rural,TRUE,TRUE,TRUE,TRUE,TRUE,,CEFGHIJ,B,0.273695
20,15-24,Rural,TRUE,TRUE,TRUE,TRUE,TRUE,Q,,H,0.273695
38,25-64,Rural,TRUE,TRUE,TRUE,TRUE,TRUE,,,H,0.273695
20,15-24,Rural,TRUE,TRUE,TRUE,TRUE,TRUE,Q,ABCDEFGHIJ,Z,0.273695
32,25-64,Rural,TRUE,TRUE,TRUE,TRUE,TRUE,,ABCDEFGHIJ,K,0.273695
53,25-64,Rural,TRUE,TRUE,TRUE,TRUE,TRUE,,DEFG,H,0.273695
49,25-64,Rural,TRUE,TRUE,TRUE,TRUE,TRUE,,BCDEFGHI,L,0.273695
31,25-64,Rural,TRUE,TRUE,TRUE,TRUE,NA,,CEFG,H,0.273695
43,25-64,Rural,TRUE,TRUE,TRUE,TRUE,TRUE,,CEF,H,0.273695
16,15-24,Rural,FALSE,TRUE,TRUE,FALSE,FALSE,,CDEFGHIJ,L,0.273695
17,15-24,Rural,FALSE,TRUE,TRUE,FALSE,FALSE,,ACDIJ,BI,0.273695
38,25-64,Rural,TRUE,TRUE,TRUE,TRUE,TRUE,,ABCDEFGHI,H,0.273695
35,25-64,Rural,TRUE,TRUE,TRUE,TRUE,TRUE,,,H,0.273695
15,15-24,Rural,FALSE,TRUE,TRUE,FALSE,FALSE,,DEFGHIJ,K,0.273695
43,25-64,Rural,TRUE,TRUE,TRUE,TRUE,TRUE,,EFGHIJ,HK,0.251117
15,15-24,Rural,TRUE,TRUE,TRUE,TRUE,TRUE,AB,ABCDEFGHIJ,K,0.251117
35,25-64,Rural,TRUE,TRUE,TRUE,TRUE,TRUE,,ABCDEFGHIJ,FH,0.251117
16,15-24,Rural,TRUE,TRUE,TRUE,TRUE,TRUE,ABD,ABCEI,A,0.251117
36,25-64,Rural,TRUE,TRUE,TRUE,TRUE,TRUE,,,L,0.251117
34,25-64,Rural,FALSE,TRUE,TRUE,FALSE,FALSE,,J,IK,0.251117
15,15-24,Rural,TRUE,TRUE,TRUE,TRUE,TRUE,AB,ABCDEFGHIJ,K,0.251117
34,25-64,Rural,TRUE,TRUE,TRUE,TRUE,NA,,ABEFGHIJ,HK,0.251117
37,25-64,Rural,TRUE,TRUE,TRUE,TRUE,TRUE,,,H,0.251117
53,25-64,Rural,TRUE,TRUE,TRUE,TRUE,TRUE,,BEFGH,L,0.251117
30,25-64,Rural,TRUE,TRUE,TRUE,TRUE,TRUE,,ABCDEFG,H,0.251117
37,25-64,Rural,TRUE,NA,TRUE,NA,TRUE,,EFGHIJ,B,0.251117
57,25-64,Rural,TRUE,TRUE,TRUE,TRUE,TRUE,,,H,0.251117
35,25-64,Rural,TRUE,TRUE,TRUE,TRUE,TRUE,,ABCDEFGHIJ,HL,0.251117
32,25-64,Rural,TRUE,TRUE,TRUE,TRUE,TRUE,,BCDFHIJ,FH,0.251117
48,25-64,Urban,TRUE,TRUE,TRUE,TRUE,TRUE,,ABCDEF,H,0.223653
42,25-64,Urban,TRUE,TRUE,TRUE,TRUE,TRUE,,ABCEF,H,0.223653
28,25-64,Urban,TRUE,TRUE,TRUE,TRUE,TRUE,P,BCDEFGHIJ,K,0.223653
20,15-24,Urban,TRUE,TRUE,TRUE,TRUE,TRUE,B,ABCDEFGHIJ,K,0.223653
22,15-24,Urban,TRUE,TRUE,TRUE,TRUE,TRUE,Q,,GH,0.223653
34,25-64,Urban,TRUE,TRUE,TRUE,TRUE,TRUE,,ABCDEFG,J,0.223653
31,25-64,Urban,TRUE,TRUE,TRUE,TRUE,TRUE,,,H,0.223653
30,25-64,Urban,TRUE,TRUE,TRUE,TRUE,TRUE,,ABCDEFGHIJ,CFH,0.223653
32,25-64,Urban,TRUE,TRUE,TRUE,TRUE,TRUE,,ABCDEFGHIJ,C,0.223653
50,25-64,Urban,TRUE,TRUE,TRUE,TRUE,NA,,CI,FH,0.223653
38,25-64,Urban,TRUE,TRUE,TRUE,TRUE,TRUE,,,HJ,0.223653
